Genotype ID	B11	Na23	Mg25	Al27	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Ni60	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd111
GW-9798	0.61	1.84	35.8	1.5	18.61	19.31	73.34	257.59	4.68	1.71	1.8	0.47	1.01	31.26	-4.51	-0.35	2.02	13.81	-1.2	-0.4
GW-9803	0.61	1.88	36.1	1.42	19.3	18.52	69.91	232.53	4.83	1.75	1.89	1.17	0.88	23.91	-4.41	-0.3	1.87	11.72	-1.09	-0.3
GW-9804	0.61	1.9	37.09	1.57	19.3	18.5	83.82	247.62	5.19	1.76	1.94	0.8	1.01	24.68	-4.31	-0.44	2.52	12.53	-0.71	0.18
GW-9805	0.61	1.83	30.58	1.64	19.24	19.23	87.47	206.79	5.57	1.79	2.08	0.72	0.93	19.87	-3.46	-0.77	1.5	9.67	-1.07	-0.23
GW-9809	0.61	1.78	33.42	1.46	19.66	19.6	79.32	170.91	5.54	1.77	0.83	0.63	0.99	22.64	-4.41	-0.46	1.36	7.05	-1.59	-0.65
GW-9812	0.61	1.78	32.28	1.52	18.76	18.21	84.62	161.97	5.67	1.8	0.58	1.1	0.92	17.19	-2.67	-0.8	2.2	7.17	-1.35	-0.97
GW-9814	0.61	1.78	34.55	1.42	19.65	19.16	68.81	228.22	5.34	1.72	1.79	0.93	0.97	23.6	-5.48	-0.38	1.76	11.38	-1.39	-0.29
GW-9820	0.61	1.8	35.47	1.58	18.87	18.29	74.67	206.91	5.88	1.75	1.65	1.34	0.98	21.83	-3.93	-0.66	2.08	10.8	-0.77	-0.21
GW-9821	0.61	1.79	34.92	1.41	19.38	19.08	79.05	269.44	5.44	1.75	0.91	0.9	1.01	22.49	-5.08	-0.33	2.52	13.76	-1.23	0.13
GW-9823	0.61	1.83	34.01	1.5	19.14	20.2	67.18	239.02	6.53	1.83	1.46	1.03	0.93	25.5	-2.9	-0.5	2.6	11.79	-0.42	-0.43
GW-9829	0.61	1.73	35.01	1.34	18.21	18.03	81.12	194.3	4.52	1.72	0.99	0.83	1.11	21.49	-4.12	-0.46	1.29	9.39	-0.97	-0.56
GW-9830	0.61	1.76	32.04	1.43	18.45	18.36	85.52	174.05	5.51	1.78	0.85	1.11	0.99	23.44	-3.68	-0.61	2.42	7.71	-1.46	-0.56
GW-9831	0.61	1.86	32.9	1.48	19.28	19.01	74.89	252.55	5.71	1.74	1.88	0.47	1.03	24.18	-4.82	-0.22	2.09	13.83	-1.64	0.19
GW-9832	0.61	1.82	34.46	1.55	19.11	18.92	80.53	199.41	6.01	1.77	1.11	0.57	1.03	23.56	-3.93	-0.27	2.71	10.07	-1.54	-0.23
GW-9833	0.61	1.81	34.42	1.5	19.79	19.37	80.03	221.33	5.04	1.74	1.49	0.6	0.94	18.82	-5.43	-0.77	1.94	10.97	-1.14	-0.38
GW-9834	0.61	1.82	30.75	1.6	19.06	18.61	74.22	184.44	5.12	1.73	1.4	0.68	0.97	19.02	-4.7	-0.7	2.34	8.78	-1.14	-0.82
GW-9838	0.61	1.79	32.42	1.46	18.52	18.41	81.23	194.37	5.11	1.69	2.29	0.7	0.9	18.63	-5.32	-0.35	2.09	9.13	-1.35	-0.22
GW-9846	0.61	1.65	32.19	1.52	19.3	19.07	76.42	242.41	6.18	1.71	1.19	0.83	0.87	25.27	-5.03	-0.33	1.94	12.61	-0.42	-0.24
GW-9847	0.61	1.87	32.46	1.51	19.37	18.7	72.29	181.98	5.49	1.82	0.7	1.14	0.98	23.9	-2.64	-0.23	1.94	8.56	-0.95	-0.95
GW-9848	0.61	1.74	33.26	1.44	18.84	18.34	88.24	206.45	4.77	1.75	0.68	0.91	1.03	15.0	-4.04	-0.66	2.11	9.79	-1.07	-0.41
