Genotype ID	B11	Na23	Mg25	Al27	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Ni60	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd111
BESC-843	181.94	26.57	1722	21.66	2487	1891	6326	12116	121.26	68.17	6.92	3.1	6.93	146.8	0.047	0.55	4.26	48.74	0.66	1.3
BESC-844	273.35	26.95	2224	11.24	2288	1809	5119	8440	67.96	94.43	4.94	2.74	5.62	129.24	0.079	0.6	4.8	30.55	0.57	0.58
BESC-845	264.16	49.5	2082	10.37	2548	1912	8449	12292	53.84	59.72	3.95	2.94	6.64	182.87	0.06	0.76	7.27	47.14	0.22	1.1
BESC-847	221.92	49.86	1340	25.93	2379	1709	7911	9363	73.8	61.34	5.02	3.31	5.35	127.58	0.052	0.62	5.07	35.7	0.35	0.92
BESC-848	237.68	43.95	1309	16.47	2658	1701	8400	9821	63.91	131.31	5.55	3.39	5.51	111.2	0.127	0.78	8.57	37.49	0.26	0.58
BESC-849	247.74	49.54	1463	18.42	2231	1712	6219	7070	70.53	102.49	7.22	2.93	4.57	99.36	0.061	0.73	5.83	24.87	0.22	0.78
BESC-852	219.76	28.45	2165	36.74	2734	2099	8200	10921	121.38	109.83	6.54	7.61	10.26	146.29	0.071	0.69	5.64	40.63	0.46	1.02
BESC-855	194.15	23.54	1266	9.88	2174	1548	8073	7022	92.89	105.54	2.18	1.31	4.87	122.43	0.115	0.54	7.95	24.53	0.32	0.63
BESC-856	219.23	25.68	2116	10.73	2510	1789	6105	10577	117.92	227.21	3.46	2.4	5.68	167.33	0.131	0.68	5.77	36.55	0.32	0.6
BESC-858	238.58	53.98	2215	10.99	2684	1824	8506	14694	73.03	112.26	4.92	4.9	5.36	192.01	0.089	0.78	8.62	56.64	0.22	1.58
BESC-859	225	35.95	1086	125.94	2607	1599	8556	4671	39.93	86.3	4.73	2.34	5.55	101.76	0.08	0.56	7.15	10.08	0.35	0.45
BESC-860	273.09	34.39	1933	10.57	2335	1860	7229	13348	65.81	77.04	4.11	3.18	5.46	163.55	0.076	0.67	6.99	48.54	0.32	0.95
BESC-863	225.66	63.71	1691	14.48	2439	1694	6458	8351	42.36	165.81	2.22	3.76	5.26	101.71	0.191	0.75	7.75	31.96	0.17	0.39
BESC-865	224.94	42.46	2227	11.28	2411	1783	5576	12897	58.79	109.94	3.13	3.63	5.98	120.66	0.088	0.82	7.34	47.75	0.21	0.69
BESC-867	198.98	34.81	1406	12.5	2569	1748	8688	7666	71.55	146.04	1.36	1.5	5.07	156.48	0.139	0.81	5.57	25.77	0.25	0.55
BESC-868	208.96	36.25	1676	64.01	2744	1763	7631	9103	101.34	173.82	3.81	2.96	6.28	160.95	0.088	0.78	4.55	33.38	0.43	0.42
BESC-869	214.5	31.43	1575	33.91	2392	1596	6782	10947	86.46	62.33	5.77	6.39	6.36	138.9	0.05	0.63	5.45	40.48	0.4	0.89
BESC-87	199.11	48	1227	29.85	2674	1832	10195	7913	100.7	81.04	7.44	6.1	7.28	133.61	0.076	0.53	6.44	25.04	0.36	0.62
BESC-870	369.89	35.93	1219	43.13	2548	1671	8854	7967	80.78	91.52	6.08	7.07	6.77	191.55	0.08	0.87	5.73	27.87	0.48	0.61
